District_name,RICE,WHEAT,JOWARR,BAJRA,MAIZE,RAGI,GRAM,TUR,UDID,MUNG
Ahemadnagar,21165,81820,290528,223329,120126,2085,28000,11705,6161,328
Akola,0,30569,104344,0,0,0,12632,20821,7377,28576
Amravati,4773,15209,0,0,0,0,66270,110996,3134,26431
Aurangabad,0,74633,79673,80819,417410,0,28673,28388,667,862
Beed,189,50908,119590,103479,6048,0,28066,30039,8738,2538
Bhandara,40300,12400,0,0,0,0,5800,9500,0,0
Buldhana,0,71315,60656,0,107331,0,43444,40156,41433,25503
Chandrapur,2502,410,36,0,0,0,306,320,3,5
Dhule,8105,74934,23599,117292,133225,137,26311,15528,12114,141142
Gadchiroli,40532,10425,1200,0,0,0,70660,45800,890,623
Gondia,3115,17,18,0,3,0,27,50,0,1
Hingoli,0,8295,0,860,0,0,4165,3912,2750,2309
Jalgaon,31,114295,216057,52869,0,74,0,8275,8860,8860
Jalna,0,35113,73866,27100,0,0,16488,30175,3951,11322
Kolhapur,6400,35250,1500,6060,17352,4500,12660,450,680,1152
Latur,4218,39268,102965,2218,0,0,51617,165903,6692,4927
Nagpur,194774,129210,6035,0,0,0,76307,49051,242,576
Nanded,532,5435,19401,0,0,0,5456,4252,2183,1365
Nandurbar,273,358,413,196,448,5,153,194,10,141
Nashik,46900,67976,665,209052,100497,33181,0,7498,16911,7024
Osmanabad,4161,26538,221347,9556,16546,0,39747,73512,22935,8148
Parbhani,8,601,1887,25,0,0,331,408,290,149
Pune,775,876,1748,458,658,132,300,8,8,19
Raigad,294300,0,0,0,0,82000,0,0,0,0
Ratnagiri,221847,0,0,0,0,23162,0,0,0,0
Sangli,0,49800,22300,9400,40450,5800,20100,900,3000,2500
Satara,8000,57600,20400,14300,45200,6900,17100,1300,2700,2100
Sindhudurg,201193,0,0,0,40,3547,0,11,97,20
Solapur,8,35766,172876,1850,74670,0,19518,4080,2803,526
Thane,397800,0,0,0,0,8800,0,0,2100,0
Wardha,0,347,22,0,0,0,202,645,2,8
Washim,0,17449,20582,0,0,0,67697,31247,166699,19334
Yavatmal,0,31732,89038,128,237,0,37829,83552,3786,5518
