District_name,Avg_rainfall,Avg_temperature
Ahemadnagar,345,24
Akola,602,27
Amravati,808,27
Aurangabad,741,26
Beed,692,29
Bhandara,538,32
Buldhana,832,25
Chandrapur,1249,27
Dhule,674,26
Gadchiroli,1493,27
Gondia,1418,26
Hingoli,1011,26
Jalgaon,785,27
Jalna,725,21
Kolhapur,1239,27
Latur,801,25
Nagpur,1064,26
Nanded,1000,27
Nandurbar,801,27
Nashik,1125,24
Osmanabad,730,25
Parbhani,918,26
Pune,763,25
Raigad,3884,26
Ratnagiri,3047,27
Sangli,637,25
Satara,1094,24
Sindhudurg,1237,27
Solapur,713,27
Thane,2667,26
Wardha,1018,27
Washim,796,27
Yavatmal,1071,26
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
